"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Schpucky","912624274",3347000,4425000,1078000,32.2
"ChrisAtom","345268356",3605500,4500000,894500,24.8
"Warshade","815859959",4165500,4660000,494500,11.9
"OutOfSync","283623251",8469000,9450000,981000,11.6
"Pax One","543791837",5579000,5797500,218500,3.9
"Kain","522872321",5491500,5700000,208500,3.8
"Dovahkiin","431699179",3530000,3600000,70000,2
"Tassadar","669183938",4416000,4500000,84000,1.9
"Katan","781558378",9584000,,,
"DerMod","442821643",3917500,3877500,-40000,-1
"Orti","433593983",11423000,11310000,-113000,-1
"DarthJarJar","452461362",4411000,4350000,-61000,-1.4
"daschau","226855656",6817500,6682500,-135000,-2
"Operator","635613754",2175500,2050000,-125500,-5.8
"Sorzus Syn","721767943",3948500,3465000,-483500,-12.2
"Robby","522696616",5843500,5100000,-743500,-12.7
"Gul Ski","941576198",2417000,2100000,-317000,-13.1
"HeteroMain","174495853",3195000,2700000,-495000,-15.5
"Fuchsvox","641514839",6165000,5155000,-1010000,-16.4
"Oxla","689238935",3071500,2550000,-521500,-17
"Denny","222474987",3736500,3000000,-736500,-19.7
"VH Andarias","222152243",3779000,3030000,-749000,-19.8
"Dobfi","543535531",4610000,3650000,-960000,-20.8
"Darthösi","359794261",7753000,6090000,-1663000,-21.4
"BΛ Dipech","224956394",2261000,1775000,-486000,-21.5
"KGJ Black","351611246",2347000,1797500,-549500,-23.4
"KGJ Charon","142491448",8813500,6667500,-2146000,-24.3
"Vader1009","212864995",2817500,2100000,-717500,-25.5
"Pathja","226191337",3839500,2850000,-989500,-25.8
"Hammel90","135841859",1979000,1462500,-516500,-26.1
"Blackbeduin","878326755",2874500,2110000,-764500,-26.6
"MstrGlnz","799351711",7751000,5400000,-2351000,-30.3
"Geilo Rain","419931662",2155500,1495000,-660500,-30.6
"kado","874216638",3476000,2400000,-1076000,-31
"Schwede","317391345",7499500,5097500,-2402000,-32
"APE4711","451595638",3764500,2460000,-1304500,-34.7
"Bobstar","266544178",5389000,3500000,-1889000,-35.1
"MadDevil","195912141",5182500,3365000,-1817500,-35.1
"Der Wookietreiber","546687834",7393000,4702500,-2690500,-36.4
"nemesis","253341728",3158500,2002500,-1156000,-36.6
"BΛ Schl8er","911254934",3464500,2040000,-1424500,-41.1
"Maxim","916127498",2635500,1520000,-1115500,-42.3
"Ado the One","123322676",3386000,1802500,-1583500,-46.8
"Steiner83","184414321",4497000,2300000,-2197000,-48.9
"SjayB","937411436",4464000,2175000,-2289000,-51.3
"Burrock Alshain","225746713",4273500,2017500,-2256000,-52.8
"AnakinSkywalker","699293926",3636000,1705000,-1931000,-53.1
"Boss Tuka","672545795",6919000,2962500,-3956500,-57.2
"Rosen","135146553",5103000,1550000,-3553000,-69.6
